AROYOAV1187B9B74E6 <sep> Daliah Lavi <sep> 0.347659 <sep> Palestine
AREK26B1187FB36733 <sep> Raffaella Carrà <sep> 0.392118 <sep> Italy
ARGNR7K1187FB3DF39 <sep> Riccardo Fogli <sep> 0.329667 <sep> Pisa, Tuscany, IT
ARSI4NZ1187B99A3B7 <sep> Kiko & Shara <sep> 0.332802 <sep> Cadiz, Andalusia, ES
ARTD4CT1187FB451B1 <sep> Pasión Vega <sep> 0.399812 <sep> Madrid, Madrid, ES
AR1OVZY1187B9B28C3 <sep> Kartel <sep> 0.435361 <sep> Colombia
ARFZHUV11F4C8421BB <sep> Tifa <sep> 0.426067 <sep> Kingston, Saint Andrew, JM
ARJ1WON1187FB5A6E0 <sep> Dr. Dooom <sep> 0.366923 <sep> Bronx, New York, NY, US
ARH58AQ1187B9B59CB <sep> Bhagavan Das <sep> 0.432831 <sep> Great Britain, GB
ARST2L41187FB50DBC <sep> Deva Premal <sep> 0.38765 <sep> Germany
ARFGNIF1187FB457B7 <sep> Donna De Lory <sep> 0.431516 <sep> Los Angeles, CA, US
ARU7A1V11C8A42C550 <sep> Wade Imre Morissette <sep> 0.322819 <sep> Ottawa, Ontario, CA
ARY603L1187FB3ACB6 <sep> Sina Vodjani <sep> 0.417973 <sep> Hamburg, Hamburg, DE
ARPKEW91187FB574D2 <sep> Snatam Kaur <sep> 0.473286 <sep> Trinidad, CO, US
ARS0OVS1187B9993C3 <sep> Wah! <sep> 0.452458 <sep> Los Angeles, CA, US
AR6MWE81187B9923FB <sep> Soulfood <sep> 0.363764 <sep> New Jersey, US
AR3HUZ01187FB459A9 <sep> Craig Pruess <sep> 0.326463 <sep> White Plains, NY, US
ARYP1181187B9A0B9F <sep> Girish <sep> 0.391477 <sep> Los Angeles, CA, US
AR20EVK1187FB5B6A7 <sep> Singh Kaur <sep> 0.370704 <sep> La Mesa,California,United States
ARADL631187B9A249A <sep> Jonathan Goldman <sep> 0.411171 <sep> United States
AR7G3R11187B98E90C <sep> Nawang Khechog <sep> 0.372686 <sep> Los Angeles, CA, US
ARV1Y351187FB57696 <sep> Music From the World of Osho <sep> 0.345649 <sep> India
AR8RQ6U1187B99A365 <sep> The Zawinul Syndicate <sep> 0.308625 <sep> Vienna, Vienna, AT
ARKL0ED1187FB5143A <sep> Les McCann <sep> 0.379195 <sep> Lexington, KY, US
AR9J6V41187FB3BB53 <sep> Mantus <sep> 0.427178 <sep> North Rhine-Westphalia, DE
ARL1DLI1187FB4BF7B <sep> Scream Silence <sep> 0.477837 <sep> Germany
AREI0A71187B9A23E2 <sep> Untoten <sep> 0.391125 <sep> Berlin, Berlin, DE
AR52YVG1187B99B2AD <sep> Star Industry <sep> 0.357315 <sep> Maasmechelen, Limburg, BE
ARBL8PV1187B99788E <sep> End of Green <sep> 0.448898 <sep> Stuttgart, Baden-Wurttemberg, DE
ARJ89X01187B98D247 <sep> Lucyfire <sep> 0.380844 <sep> Germany
AR5DJBS1187B997655 <sep> Michelle Darkness <sep> 0.332984 <sep> Germany
AR7G6JJ1187FB3AF00 <sep> Sinamore <sep> 0.443575 <sep> Finland
AR48JDT1187FB4340C <sep> The June Brides <sep> 0.30421 <sep> London, England, GB
ARB72UR1187FB4FB95 <sep> Master <sep> 0.478821 <sep> Chicago, IL, US
AR73I3L1187FB37891 <sep> Carnage <sep> 0.376926 <sep> Stockholm, Stockholm, SE
ARC1X4C1187B98CF3A <sep> Convulse <sep> 0.394351 <sep> Nokia, Pirkanmaa, FI
AR7Y4E71187FB43041 <sep> Bebo Valdés <sep> 0.429766 <sep> Sweden
ARW3GP11187B991641 <sep> Soopafly <sep> 0.385323 <sep> Long Beach, CA, US
AROYL1V1187B98EDA6 <sep> Looking Up <sep> 0.356019 <sep> Los Angeles, CA, US
AR28RKC1187FB53B4E <sep> Last Hope <sep> 0.394277 <sep> Encino, Los Angeles, CA, US
AROPRRZ1187B989B93 <sep> Pantheon I <sep> 0.326445 <sep> Oslo, Oslo Fylke, NO
ARUIJLW1187FB366E1 <sep> Kaye Styles <sep> 0.326391 <sep> Brussels, Capital Region of Brussels, BE
AR58ZXX1187FB572F2 <sep> Kardinal Offishall <sep> 0.452611 <sep> Toronto, Ontario, CA
ARPT5H31187B98C277 <sep> Born Jamericans <sep> 0.369596 <sep> Washington, DC, US
AR7JNML1187FB53509 <sep> Lily Frost <sep> 0.368086 <sep> British Columbia, CA
AR3IZAC1187FB4903A <sep> London Funk Allstars <sep> 0.380896 <sep> Japan
ARTBC6Z1187FB566E7 <sep> 椎名林檎 <sep> 0.431233 <sep> Fukuoka-shi, Fukuoka Prefecture, JP
AR06PX81187B9B71EC <sep> SHAKALABBITS <sep> 0.437849 <sep> Jamaica
ARZE7BF1187B98A484 <sep> Terry Lee Brown Jr. <sep> 0.368643 <sep> Darmstadt, Hesse, DE
ARFH05X1187FB3D4FB <sep> Soda Inc. <sep> 0.385461 <sep> Cologne, North Rhine-Westphalia, DE
ARZDOFO1187B9900C4 <sep> G-Pal <sep> 0.367176 <sep> Thessaloniki, Macedonia and Thrace, GR
AR8XIZ71187B9A002D <sep> Youngblood Brass Band <sep> 0.490087 <sep> Madison, WI, US
ARGY96L1187FB410ED <sep> Jimmy McGriff <sep> 0.424674 <sep> Germantown, Philadelphia, PA, US
ARMOZAC12AF7DA507B <sep> Soul Rebels Brass Band <sep> 0.391552 <sep> New Orleans, LA, US
AR9DKBP1187FB51903 <sep> Cougar <sep> 0.444203 <sep> Wisconsin, US
ARYMKDY122ECCBD623 <sep> Jack Brass Band <sep> 0.341744 <sep> Minneapolis, MN, US
AROSXYO1187FB4C26B <sep> Pauline Croze <sep> 0.435159 <sep> Noisy-le-Sec, Ile-de-France, FR
ARYVLXY1187FB373B0 <sep> Maurane <sep> 0.343198 <sep> Elsene, Brussels, Capital Region of Brussels, BE
AROSOHD1257509E2EC <sep> The Capital Beat <sep> 0.356961 <sep> Espoo, Uusimaa, FI
ARQM1QS1187FB57CCA <sep> The Hotknives <sep> 0.421031 <sep> Brighton, England, GB
AR3SESJ1187FB57F5E <sep> Babylove & The Van Dangos <sep> 0.406222 <sep> Copenhagen, Hovedstaden, DK
ARSF0441187B98A4F7 <sep> No Sports <sep> 0.343464 <sep> Stuttgart, Baden-Wurttemberg, DE
ART9PG31187B992A92 <sep> Lord Tanamo <sep> 0.33541 <sep> Jamaica
ARO6E7Q1187B99C074 <sep> Blaster Master <sep> 0.326891 <sep> Oulu, Northern Ostrobothnia, FI
ARGTEVJ1187B9AF0E8 <sep> The Dualers <sep> 0.389696 <sep> Croydon, London, England, GB
AREXKWR1187FB59A74 <sep> Millie Small <sep> 0.367744 <sep> Clarendon, JM
ARV1P661187B990E78 <sep> Tonio K. <sep> 0.308811 <sep> Los Angeles, CA, US
ARYUGH61187FB3FCCC <sep> Koray Candemir <sep> 0.38585 <sep> Turkey
ARNRBW31187B98F70D <sep> Nelson <sep> 0.395936 <sep> Santa Monica, CA, US
ARE8UE41187FB5BF5E <sep> Giant <sep> 0.427565 <sep> Nashville, TN, US
AR7BRPP1187B992AC1 <sep> Moneen <sep> 0.45104 <sep> Brampton, Ontario, CA
ARU8IB81187B98BD65 <sep> Lungfish <sep> 0.442565 <sep> Baltimore, MD, US
AR82OTH1187FB3FEAA <sep> Evaline <sep> 0.449296 <sep> Turlock, CA, US
ARIC3EM1187B9A3712 <sep> Kenny Rankin <sep> 0.336912 <sep> Yuba City, CA, US
ARAG1DX1187B98BB10 <sep> Ben Sidran <sep> 0.353403 <sep> Chicago, IL, US
ARWBVBV122988F0F6D <sep> El Chalinillo <sep> 0.323381 <sep> California, US
ARCFGJV1228B7C53E0 <sep> Brazeros Musical de Durango <sep> 0.340086 <sep> Melrose Park, IL, US
ART4J8Y1187B9AC817 <sep> Anarchy Club <sep> 0.418049 <sep> Boston, MA, US
ARQL1U81187B9B5BAA <sep> Paul Robeson <sep> 0.360805 <sep> Princeton, NJ, US
ARRLQAC12CAE3AA3DA <sep> 41st and Home <sep> 0.410854 <sep> Vancouver,Canada
ARSN47F1187FB3EC20 <sep> Son Seals <sep> 0.370156 <sep> Osceola, AR, US
ARIB59P1187B988C35 <sep> Antiseen <sep> 0.421073 <sep> Charlotte, NC, US
ARYI8JQ1187B9919E2 <sep> Guthrie Govan <sep> 0.469057 <sep> Chelmsford, England, GB
AR3L9WA1187B9A5861 <sep> Mattias IA Eklundh <sep> 0.381504 <sep> Sweden
AREJRPX1241B9CC297 <sep> Labyrinthe <sep> 0.428853 <sep> Charlotte, NC, US
AR663H01187FB36441 <sep> Mr. Criminal <sep> 0.457881 <sep> Los Angeles, CA, US
ARYEZKK1187B99B475 <sep> Slow Pain <sep> 0.319311 <sep> Pico Rivera, CA, US
ARMI10H1187B99DFDC <sep> Conejo <sep> 0.359271 <sep> Los Angeles, CA, US
ARHCLM01187B9A3525 <sep> Spider Loc <sep> 0.416413 <sep> Compton, CA, US
ARC23S41187B9A920E <sep> Charlie Musselwhite <sep> 0.438841 <sep> Kosciusko, MS, US
ARWIXE31187FB3FAB7 <sep> Carey Bell <sep> 0.344256 <sep> Macon, MS, US
ARNZLG91187FB52536 <sep> Sugar Blue <sep> 0.364665 <sep> Harlem, New York, NY, US
AR18AFT1187FB3C8BE <sep> Big Walter Horton <sep> 0.382551 <sep> Horn Lake, MS, US
AR22L3X1187B9AE0C7 <sep> Espen Lind <sep> 0.426017 <sep> Tromso, Troms Fylke, NO
AREK5L81187FB57FDF <sep> Askil Holm <sep> 0.371734 <sep> Namsos, Nord-Trondelag, NO
AR9JV0W1187FB36A43 <sep> William Hut <sep> 0.380558 <sep> Bergen, Hordaland Fylke, NO
ARFEQ5D1187FB3CFB2 <sep> Morten Harket <sep> 0.576143 <sep> Kaliningrad, Kaliningrad Oblast, RU
ARELL581187B9ACB1A <sep> Savoy <sep> 0.457015 <sep> Bergen, Hordaland Fylke, NO
AR9KCVY1187B99D3E3 <sep> Fra Lippo Lippi <sep> 0.433795 <sep> Nesodden Kommune, Akershus Fylke, NO
ARGT4V81187B98C9A0 <sep> Briskeby <sep> 0.371306 <sep> Oslo, Oslo Fylke, NO
ARJK24L1187B9AFF5E <sep> Quarteto em Cy <sep> 0.317512 <sep> Ibirataia, Bahia, BR
ARKMAGH1187B98D877 <sep> Enochian Crescent <sep> 0.389188 <sep> Helsinki, Uusimaa, FI
ARQIKC51187B9A83D5 <sep> Underwater Sleeping Society <sep> 0.36483 <sep> Helsinki, Uusimaa, FI
ARLLM9F1187FB4BDEB <sep> The Five Corners Quintet <sep> 0.421522 <sep> Helsinki, Uusimaa, FI
ARG8EKD1187FB43810 <sep> Samae Koskinen <sep> 0.421738 <sep> Helsinki, Uusimaa, FI
ARXGO8Z1187FB4D1C4 <sep> Dropping Daylight <sep> 0.331591 <sep> Minneapolis, MN, US
ART1YR41187B98E86C <sep> Karussell <sep> 0.376801 <sep> Leipzig, Saxony, DE
ARSI0S71187B9A3EE7 <sep> Rockhaus <sep> 0.343177 <sep> Berlin, Berlin, DE
AR3CZ491187B9A1D98 <sep> Engerling <sep> 0.342786 <sep> Berlin,Germany
AR5OTME1187B98E8A8 <sep> Keimzeit <sep> 0.395337 <sep> Potsdam, Brandenburg, DE
ARHCUJN12406A89AE0 <sep> Richard Cheese & Lounge Against The Machine <sep> 0.462842 <sep> Los Angeles, CA, US
ARJXVSV1187B9A252F <sep> Goldie Lookin' Chain <sep> 0.424961 <sep> Newport South, MD, US
ARRTJCG12086C15DBB <sep> Bo Burnham <sep> 0.443849 <sep> Hamilton, MA, US
ARVWFRE11EBCD7705C <sep> Craig Ferguson <sep> 0.340478 <sep> Glasgow, Scotland, GB
ARL3HMZ11C8A415849 <sep> The Urgency <sep> 0.367919 <sep> New York, US
ARLSMEN1187B98D6DF <sep> Chuck Mangione <sep> 0.420375 <sep> Rochester, NY, US
ARZVYEQ1187FB4D576 <sep> Adem <sep> 0.443858 <sep> London, England, GB
ARUWWWR1187B9A3CCF <sep> Rotterdam Ska Jazz Foundation <sep> 0.34387 <sep> Netherlands
ARP3CGY1187B9A9E3B <sep> King Changó <sep> 0.300618 <sep> United States
ARBOLSN1187FB36048 <sep> Julio Jaramillo <sep> 0.401904 <sep> Guayaquil, Guayas, EC
ARNIM3B1187B9AD0F8 <sep> Gravenhurst <sep> 0.552571 <sep> Bristol, England, GB
AR6E3PI1187FB457C1 <sep> Ola Podrida <sep> 0.34939 <sep> Austin, TX, US
ARPQA4M1187B9B12F4 <sep> Windsor for the Derby <sep> 0.403567 <sep> Austin, TX, US
ARAORM01187FB440D3 <sep> Parry Gripp <sep> 0.4672 <sep> Santa Barbara, CA, US
ARGRHGG1187B9AFBB7 <sep> Rolf Harris <sep> 0.440699 <sep> Perth, Western Australia, AU
ARMP5421187FB530D6 <sep> Kevin Bloody Wilson <sep> 0.387374 <sep> Australia
AREE2W91187B9A373A <sep> Mitchell <sep> 0.329639 <sep> Quebec, Quebec, CA
ARR5X8N1187FB59E3A <sep> Trey Parker <sep> 0.457342 <sep> Conifer, CO, US
ARNR4B91187FB5027C <sep> The Simpsons <sep> 0.418487 <sep> Germany
ARGH3BJ1187FB4514D <sep> John C. Reilly <sep> 0.366292 <sep> Chicago, IL, US
ARTHH511187B9A3AE4 <sep> Jason Segel <sep> 0.345951 <sep> Los Angeles, CA, US
ARJRFMV1187FB38045 <sep> Tia Carrere <sep> 0.375286 <sep> Honolulu, HI, US
ARQZOZN1187FB527D4 <sep> Tay Zonday <sep> 0.440631 <sep> Minneapolis, MN, US
ARD0X5N1187B9AF088 <sep> Jacobs Dream <sep> 0.345741 <sep> Ohio, US
ARHQG921187B99030F <sep> Sacramentum <sep> 0.413554 <sep> Gothenburg, Vastra Gotaland, SE
ARYPS5K1187B9B07F0 <sep> Mactätus <sep> 0.355185 <sep> Skien, Telemark Fylke, NO
ARVZWZ41187FB59387 <sep> Sharam Jey <sep> 0.449718 <sep> Cologne, North Rhine-Westphalia, DE
AR5TQ1T1187FB59492 <sep> Cornell Campbell <sep> 0.369228 <sep> Jamaica
ARWI3LF1187B98E456 <sep> Hugh Mundell <sep> 0.411597 <sep> Jamaica
AR9Y9701187B9AC3F1 <sep> Joseph Patrick Moore <sep> 0.318599 <sep> Knoxville, TN, US
AROH2C01187FB3C557 <sep> Whigfield <sep> 0.372415 <sep> Copenhagen, Hovedstaden, DK
ARPK59D1187FB5144E <sep> Bassekou Kouyate & Ngoni ba <sep> 0.310144 <sep> Nashua USA
ARRYPNP1187B9A2E3D <sep> Afel Bocoum <sep> 0.40832 <sep> Mali
AR4B9IR11C8A414E16 <sep> Grace Deeb <sep> 0.376143 <sep> Lebanon
AR76MK01187FB46973 <sep> Mike Watt <sep> 0.381324 <sep> San Pedro, Los Angeles, CA, US
ARYHW3O1187B989FDF <sep> J Church <sep> 0.325117 <sep> San Francisco, CA, US
ARGE4UK1187B9A93CE <sep> The Only Children <sep> 0.377866 <sep> Lawrence, KS, US
ARWD6SL1187B9B5D31 <sep> Flutlicht <sep> 0.350321 <sep> Switzerland
AR5MUOW1187B9B5CB2 <sep> Ismo Alanko <sep> 0.437064 <sep> Joensuu, North Karelia, FI
ARJD9SQ1187FB4A8A9 <sep> Jonny Polonsky <sep> 0.371221 <sep> Los Angeles, CA, US
ARQR16V1187B9BA234 <sep> Dufus <sep> 0.431744 <sep> New York, NY, US
AR4OKLB1187B9B9EAE <sep> Polkadot Cadaver <sep> 0.393407 <sep> Rockville,Maryland,United States
ARJFYA51187B9A9EDB <sep> Tub Ring <sep> 0.455788 <sep> Chicago, IL, US
ARX4VP21187FB37BF9 <sep> The Alter Boys <sep> 0.384595 <sep> Cleveland, OH, US
ARAKSHO11E2835CD43 <sep> Foxy Shazam <sep> 0.493993 <sep> Cincinnati, OH, US
ARRYAR91187FB40ABD <sep> Screaming Mechanical Brain <sep> 0.401706 <sep> Minneapolis, MN, US
ARPJZ5R1187FB36C6F <sep> Boom Jinx <sep> 0.384233 <sep> Bergen, Hordaland Fylke, NO
ARJAR3411C8A4162B3 <sep> Saeed Younan <sep> 0.377267 <sep> Washington, DC, US
AR0WCUZ1187FB53ED2 <sep> Zach Hill <sep> 0.429241 <sep> Sacramento, CA, US
ARTBB621187FB3A2D6 <sep> U.S. Maple <sep> 0.418393 <sep> Chicago, IL, US
ARVPPLA1187FB53C97 <sep> Linda Martini <sep> 0.469866 <sep> Lisbon, Lisbon, PT
ARFE44X1187B995E55 <sep> Ena Pá 2000 <sep> 0.393947 <sep> Foz do Arelho, Leiria, PT
AR5YX8Z1187B9A3B9C <sep> Tara Perdida <sep> 0.345459 <sep> Alvalade, Lisbon, PT
ARPN15S1187FB3A484 <sep> If Lucy Fell <sep> 0.32382 <sep> Portugal
ARNAKGX12086C13290 <sep> peixe : avião <sep> 0.372113 <sep> Braga,Portugal
ARGPFYP1187B98F5CB <sep> The Highwaymen <sep> 0.413574 <sep> Dayton, OH, US
AR72Q9R1187B98A664 <sep> Hatiras <sep> 0.410314 <sep> Toronto, Ontario, CA
ARV1I3I1187B99EBD4 <sep> Jérôme Minière <sep> 0.415831 <sep> Montreal, Quebec, CA
ARQDVVG1269FB377FE <sep> Le Matos <sep> 0.403562 <sep> Montreal,Canada
ARMFIPB1241B9C9957 <sep> Not Yet <sep> 0.380398 <sep> NY - New York City
ARQI04T1187FB4C9E9 <sep> Rocks <sep> 0.463733 <sep> London, England, GB
ARQM7VH1187B9A17E2 <sep> Sawa <sep> 0.43599 <sep> Japan
ARCFZ4D1187FB47FA4 <sep> Mark Anthony <sep> 0.467841 <sep> Montreal, Quebec, CA
ARXGGFL1187B99E897 <sep> Hates <sep> 0.365286 <sep> Houston, TX, US
ARX6KNA1187FB3D840 <sep> The Eat <sep> 0.341937 <sep> Miami, FL, US
ARVG2EY1187B98C709 <sep> Vox Pop <sep> 0.318918 <sep> Washington, DC, US
ARVC7L51187FB3C33B <sep> HYPE <sep> 0.323131 <sep> Petrovgrad, Srednji Banat, RS
ARXKOWZ1187FB3D133 <sep> The Dogs <sep> 0.376838 <sep> New South Wales, AU
ARX9CGB1187FB52AC4 <sep> Stefan <sep> 0.437011 <sep> Belgrade, Beograd, RS
ARPM5EX1187FB4FE73 <sep> VKTMS <sep> 0.355867 <sep> San Francisco, CA, US
ARG8HLB1187FB3F92A <sep> Fariborz Lachini <sep> 0.455207 <sep> Tehran, Tehran, IR
AR6EAP11187B9A05DD <sep> Ann Sweeten <sep> 0.344394 <sep> Boston, MA, US
ARX99T91187FB3FFB6 <sep> Louis Landon <sep> 0.339177 <sep> New York, NY, US
ARQERQH11E2835F140 <sep> Laura Sullivan <sep> 0.43119 <sep> San Francisco, CA, US
AR9LZPD1187B9ADECD <sep> Dolcenera <sep> 0.489117 <sep> Galatina, Puglia, IT
AR8H2Y81187B989747 <sep> Marina Rei <sep> 0.420381 <sep> Italy
ARMJUDK1229890080B <sep> Alessandra Amoroso <sep> 0.501448 <sep> Galatina, Puglia, IT
ART68O01187B98A2B6 <sep> ARISA <sep> 0.422371 <sep> Genoa, Liguria, IT
AR2XSEB11C8A415FAC <sep> Giusy Ferreri <sep> 0.418935 <sep> Palermo, Sicily, IT
AR94R6H11C8A42C646 <sep> Marco Carta <sep> 0.451079 <sep> Cagliari, Sardinia, IT
ARAIVJT12509416C9D <sep> Emma Marrone <sep> 0.492283 <sep> Florence, Tuscany, IT
ARMKWHX12086C14CAD <sep> Malika Ayane <sep> 0.376394 <sep> Milan, Lombardy, IT
ARJH0NN1187B98F686 <sep> Nathalie <sep> 0.330262 <sep> Los Angeles, CA, US
ARVPBZV119B340368A <sep> Studio 3 <sep> 0.376733 <sep> Niagara Falls
AR13ADT1187B9B440E <sep> Massimo Di Cataldo <sep> 0.420338 <sep> Italy
ARBOISW122BCFCC6B6 <sep> Le Mani <sep> 0.36367 <sep> Rome, Lazio, IT
ARVDMFG1187B9912C3 <sep> Little Atlas <sep> 0.315179 <sep> Florida, US
ARNIDMP1187FB52288 <sep> Steve Thorne <sep> 0.356733 <sep> United Kingdom
AROW3XO1187B989E72 <sep> The Motors <sep> 0.346891 <sep> London, England, GB
AR58NDY1187B9A0F99 <sep> Slaughter and The Dogs <sep> 0.422314 <sep> Manchester, England, GB
AR3BAPB1187FB3DD5E <sep> Dr. Feelgood <sep> 0.457143 <sep> Canvey Island, England, GB
ARRMQYX1187B9A0390 <sep> Ducks Deluxe <sep> 0.377216 <sep> London, England, GB
ARGU9761187B9B8C2A <sep> Color Filter <sep> 0.370563 <sep> Tokyo, Tokyo Prefecture, JP
AR20WKO1187B9AF476 <sep> Christian Kleine <sep> 0.378573 <sep> Germany
AR0TNEY1187FB4E3AF <sep> People Press Play <sep> 0.388728 <sep> Copenhagen, Hovedstaden, DK
AR5S23O1187FB4B5DE <sep> Herrmann & Kleine <sep> 0.309727 <sep> Germany
ARGUIG61187B9A7B7D <sep> Phonem <sep> 0.334754 <sep> Germany
ARYNVMR1187B99B669 <sep> Contriva <sep> 0.349608 <sep> Berlin, Berlin, DE
ARP11MR1187B9ACFFC <sep> Hope Sandoval & The Warm Inventions <sep> 0.374752 <sep> Los Angeles, CA, US
ARS782H1187B9897F8 <sep> Klima <sep> 0.42027 <sep> London,England
AR5OYUJ1187FB38DE9 <sep> The Icicles <sep> 0.410654 <sep> Grand Rapids, MI, US
ARZXCSZ11F50C4D59C <sep> Summer Cats <sep> 0.379768 <sep> Melbourne, Victoria, AU
ARZ3IST1187B9BA244 <sep> Manuel Mijares <sep> 0.442319 <sep> Chicago, IL, US
ARI8MT01187B99962F <sep> Sun Caged <sep> 0.347915 <sep> Sittard, Limburg, NL
ARD0E2Q1187B9B4BD6 <sep> Dominici <sep> 0.447521 <sep> New York,United States
ARQ0J2N1187B9AA01B <sep> Spheric Universe Experience <sep> 0.374924 <sep> France
AR8YEKK1187B9AF697 <sep> Silent Voices <sep> 0.0 <sep> Billericay, England, GB
ARAE56X1187FB3A2AD <sep> Age of Nemesis <sep> 0.316338 <sep> Székesfehérvár, Székesfehérvár, HU
ARIXUFG1187B9A02BA <sep> Anubis Gate <sep> 0.440792 <sep> Denmark
ARJLM7K1187B99A2EB <sep> William Tell <sep> 0.393185 <sep> Orange, CA, US
ARYUGJ51187B9AF545 <sep> Billy Sheehan <sep> 0.456609 <sep> Buffalo, NY, US
ARFYXIH1187FB4063B <sep> Niacin <sep> 0.375625 <sep> United States
AR58SCK1187FB50AED <sep> Rafael Riqueni <sep> 0.320447 <sep> Spain
ART81NG1187FB59C27 <sep> No Relax <sep> 0.444377 <sep> Italy
ARORNCB11F4C8484B3 <sep> Malos Vicios <sep> 0.313411 <sep> Spain
ARPKBRF11EB9C81890 <sep> The Resignators <sep> 0.384747 <sep> Melbourne, Victoria, AU
ARFW0QN11C8A4216B7 <sep> Dark Party <sep> 0.428888 <sep> Chicago, IL, US
ARZEOSL1187B9AC259 <sep> Joy Electric <sep> 0.383168 <sep> California, US
ARMCU1M1187B9A7697 <sep> Outputmessage <sep> 0.316966 <sep> Washington, DC, US
AR77LGK1187B98A4DE <sep> Tarralyn Ramsey <sep> 0.342758 <sep> Jacksonville, FL, US
AR87YMP1187FB47574 <sep> Murder <sep> 0.402401 <sep> Copenhagen, Hovedstaden, DK
ARY7LZN1187B99FB9A <sep> Speaker Bite Me <sep> 0.323696 <sep> Copenhagen, Hovedstaden, DK
ARWRPM71187FB531EA <sep> Superheroes <sep> 0.377135 <sep> Skive, Midtjylland, DK
ARXFE391187FB5A57C <sep> Jack Williams <sep> 0.346725 <sep> West Fork, AR, US
ARF4I9I1187B9B4196 <sep> Ash Grunwald <sep> 0.448201 <sep> Melbourne, Victoria, AU
ARLHSLA1187FB3D5BD <sep> Kelly Joe Phelps <sep> 0.337361 <sep> Portland, OR, US
AR21O7X1187B990168 <sep> Archie Roach <sep> 0.369327 <sep> Mooroopna, Victoria, AU
ARKQV3D1187FB478B7 <sep> The Audreys <sep> 0.430954 <sep> Adelaide, South Australia, AU
ARWBBVL1187B994342 <sep> White Magic <sep> 0.409798 <sep> Brooklyn, New York, NY, US
ARU1RUT1187B99C096 <sep> Leif Garrett <sep> 0.424705 <sep> Hollywood, Los Angeles, CA, US
AR5PDGV1187B998505 <sep> Tue West <sep> 0.376548 <sep> Copenhagen, Hovedstaden, DK
ARN097J1187FB54886 <sep> Lars H.U.G. <sep> 0.366971 <sep> Denmark
ARBKMLS1187FB40A07 <sep> Arsenio Rodríguez <sep> 0.321384 <sep> Matanzas, Matanzas, CU
ARPQYXL123E29C15DB <sep> Katsen <sep> 0.334103 <sep> Brighton, England, GB
ARMBEPG1242077FE74 <sep> Cinnamon Chasers <sep> 0.416785 <sep> London, England, GB
AR0FLVM1187B9AA7D7 <sep> Red Cell <sep> 0.326285 <sep> Sweden
AR98AOE1187B9AC952 <sep> Dismantled <sep> 0.397729 <sep> United States
AR7LQFQ1187FB3ADBF <sep> Xentrifuge <sep> 0.425094 <sep> Cliffside Park, NJ, US
ARBQW1H1187FB3E3A0 <sep> Nino Bravo <sep> 0.360802 <sep> Aielo de Malferit, Valencia, ES
ARCJXY41187FB470F9 <sep> The Brother Kite <sep> 0.341142 <sep> Providence, RI, US
ARGTVOC11FF10D854D <sep> The Kid Daytona <sep> 0.391375 <sep> Bronx, New York, NY, US
ARV8FTK1187B990529 <sep> Fm3 <sep> 0.373018 <sep> Los Angeles, CA, US
ARNLKAN1187FB4A662 <sep> Ultra-Red <sep> 0.31566 <sep> Los Angeles, CA, US
ARQCLBU12086C13BF5 <sep> Klaus & Kinski <sep> 0.357289 <sep> Murcia, Murcia, ES
ARK7JAH1187B991797 <sep> Miranda! <sep> 0.45216 <sep> Argentina
ARZM6CF1187B99CE71 <sep> Los Látigos <sep> 0.374905 <sep> Argentina
AR7QDC61187FB46A08 <sep> Leo García <sep> 0.397613 <sep> Pueblo Moreno, Entre Rios, AR
ARY9J9F1187B990241 <sep> Entre Ríos <sep> 0.37481 <sep> Buenos Aires, Autonomous City of Buenos Aires, AR
ARWPN7C1187B9986E6 <sep> La Monja Enana <sep> 0.390118 <sep> Barcelona, Catalonia, ES
ARU9K0S1187FB37C29 <sep> Dalriada <sep> 0.368348 <sep> Szorpron, Sopron, HU
ARUJFIE1187B98EDC8 <sep> Lyriel <sep> 0.445046 <sep> Gummersbach, North Rhine-Westphalia, DE
ARMNB211187B9A3BC5 <sep> Midnattsol <sep> 0.372698 <sep> Norway
ARA2SDN1187B9ABE50 <sep> K.C. Accidental <sep> 0.339544 <sep> Toronto, Ontario, CA
AR13JHG1187FB4DC9E <sep> Silent Poets <sep> 0.41808 <sep> Tokyo, Tokyo Prefecture, JP
AR786BY1187B98D36C <sep> Diane Arkenstone <sep> 0.417791 <sep> United States
ARF3NHA1187FB3ED7D <sep> Llewellyn <sep> 0.389694 <sep> Russia
ARMRDOQ1187FB46579 <sep> Terry Oldfield <sep> 0.424929 <sep> Eudlo, Queensland, AU
ARQA03P1187B99CCA8 <sep> Enam <sep> 0.369286 <sep> Hackensack, NJ, US
ARL50EP1187B98F311 <sep> Midori <sep> 0.391334 <sep> Osaka-shi, Osaka Prefecture, JP
ARNHDRG122988F5A61 <sep> Everyday Process <sep> 0.328587 <sep> Philadelphia, PA, US
AROVDP81187B9B06FB <sep> Langhorns <sep> 0.414683 <sep> Sweden
ARZBEIM1187B98F7E3 <sep> The Phantom Surfers <sep> 0.359398 <sep> San Francisco, CA, US
ARUB4XR1187FB5BA1E <sep> The Marketts <sep> 0.31524 <sep> United States
ARZDD3C1187B99E4D8 <sep> The Tormentos <sep> 0.371186 <sep> Argentina
ARDFBOG11E2835C280 <sep> Elder <sep> 0.409803 <sep> Philadelphia, PA, US
ARAJI0Y1187B98FFA7 <sep> The Saddest Landscape <sep> 0.456119 <sep> Boston, MA, US
