ARHTAPO1187FB5AADE <sep> Iron Maiden <sep> 0.682329 <sep> Leyton, London, England, GB
ARM7EDF1187B9B3FA1 <sep> Guns N' Roses <sep> 0.772608 <sep> Los Angeles, CA, US
AREGV3K1187B9AF614 <sep> Mötley Crüe <sep> 0.533901 <sep> Los Angeles, CA, US
ARNLO5S1187B9B80CC <sep> Van Halen <sep> 0.495209 <sep> Pasadena, CA, US
AR0XOGM1187B9B3754 <sep> Twisted Sister <sep> 0.523104 <sep> New York, NY, US
ART5MUE1187B98C961 <sep> Metallica <sep> 0.729249 <sep> Los Angeles, CA, US
AR0YTWT1187FB3D62F <sep> Sammy Hagar <sep> 0.476878 <sep> Salinas, CA, US
AROAILX1187FB3F858 <sep> Buckcherry <sep> 0.593429 <sep> Los Angeles, CA, US
AR8KOWK1187FB4CB95 <sep> Skid Row <sep> 0.501515 <sep> Toms River, NJ, US
ARCFQWM1187B9B88C7 <sep> David Lee Roth <sep> 0.459275 <sep> Bloomington, IN, US
AR1A7DS1187FB53A9E <sep> Circus of Power <sep> 0.323742 <sep> New York, NY, US
ARKGUXC1187B9900D5 <sep> Rhino Bucket <sep> 0.362268 <sep> Van Nuys, Los Angeles, CA, US
ARGOXY21187FB37826 <sep> Cinderella <sep> 0.4762 <sep> Philadelphia, PA, US
AR307VU1187B9B5846 <sep> Nashville Pussy <sep> 0.495108 <sep> Atlanta, GA, US
ARU39OL1187FB3825F <sep> Raging Slab <sep> 0.307398 <sep> Hooversville, PA, US
ARMI8BW1187FB57B2E <sep> Kiss <sep> 0.49071 <sep> New York, NY, US
ARLO7621187FB387FB <sep> Slayer <sep> 0.506155 <sep> United States
AR71MIY1187B9BA0C3 <sep> Pantera <sep> 0.676081 <sep> Arlington, TX, US
AR3B7K91187B98C62E <sep> Anthrax <sep> 0.51516 <sep> New York, NY, US
ARSW5F51187FB4CFC9 <sep> Alice in Chains <sep> 0.535326 <sep> Seattle, WA, US
ARTLZQW1187B9AC583 <sep> Testament <sep> 0.500935 <sep> San Francisco Bay Area, CA, US
ARHLT3W1187FB5711F <sep> Sepultura <sep> 0.519044 <sep> Belo Horizonte, Minas Gerais, BR
AR2EHIJ1187B9A45BC <sep> Metal Church <sep> 0.474705 <sep> Aberdeen, WA, US
ARJTBO81187FB4B7CC <sep> Voivod <sep> 0.450545 <sep> Jonquière, Saguenay, Quebec, CA
ARIETVC1187B9B651D <sep> Kyuss <sep> 0.449552 <sep> Palm Desert, CA, US
AR59L911187FB3DC79 <sep> Prong <sep> 0.484839 <sep> New York, NY, US
AR2DGPY1187FB4CECF <sep> The Beach Boys <sep> 0.686485 <sep> Hawthorne, CA, US
ARXRNDO1187FB42BE5 <sep> The Hollies <sep> 0.491451 <sep> Lancashire, England, GB
ARD4C1I1187FB4B0C3 <sep> Pink Floyd <sep> 0.704764 <sep> Cambridge, England, GB
ARA97CU1187FB364DA <sep> The Beau Brummels <sep> 0.404169 <sep> San Francisco, CA, US
AR5FP401187FB523C9 <sep> Bob Dylan <sep> 0.649081 <sep> Duluth, MN, US
AR1VWD91187FB4CE99 <sep> The Animals <sep> 0.5236 <sep> Newcastle upon Tyne, England, GB
ARULZ741187B9AD2EF <sep> Elvis Presley <sep> 0.635133 <sep> Tupelo, MS, US
ARQNRTK1187B9B58F2 <sep> The Searchers <sep> 0.462564 <sep> Liverpool, England, GB
ARKMZMT1187B9AC1F9 <sep> The Move <sep> 0.437037 <sep> Birmingham, England, GB
ARJE43O1187B9B1EF7 <sep> Bun B <sep> 0.482083 <sep> Port Arthur, TX, US
AR23C041187FB4D534 <sep> 50 Cent <sep> 0.735213 <sep> South Jamaica, New York, NY, US
ARNAVYW1187B99CD50 <sep> Slim Thug <sep> 0.489849 <sep> Houston, TX, US
AREMQN51187B9B7144 <sep> Chamillionaire <sep> 0.483565 <sep> Houston, TX, US
AR1ZP9M1187FB4DE9A <sep> Boyz N Da Hood <sep> 0.378065 <sep> Atlanta, GA, US
ARZER7I1187FB385AF <sep> Dr. Dre <sep> 0.703274 <sep> Los Angeles, CA, US
ARTH9041187FB43E1F <sep> Eminem <sep> 0.794688 <sep> St. Joseph, MO, US
AREJ4S91187B9AD10C <sep> D12 <sep> 0.509452 <sep> Detroit, MI, US
ARMB95F1187B9B5B93 <sep> Cam'ron <sep> 0.403369 <sep> Harlem, New York, NY, US
ARDD00U1187B9AEB3F <sep> Obie Trice <sep> 0.491074 <sep> Detroit, MI, US
ARPBTRI1187FB52457 <sep> The Game <sep> 0.666069 <sep> Compton, CA, US
ARTE9CG1187B99B1AF <sep> DMX <sep> 0.392956 <sep> Baltimore, MD, US
ARCGJ6U1187FB4D01F <sep> Akon <sep> 0.720131 <sep> Dakar, Dakar, SN
ARM9HR61187B9AD75A <sep> Ja Rule <sep> 0.491094 <sep> Queens, New York, NY, US
AREV2491187B9B017E <sep> Mobb Deep <sep> 0.521852 <sep> Queensbridge, New York, NY, US
ARZ5H0P1187B98A1DD <sep> Snoop Dogg <sep> 0.74527 <sep> Long Beach, CA, US
ARWPZIE1187B9B7F82 <sep> Method Man <sep> 0.501273 <sep> Long Island, NY, US
ARZ3U2M1187B989ACB <sep> Nas <sep> 0.654147 <sep> Queensbridge, New York, NY, US
ARD39VZ1187B9B9A57 <sep> Lloyd Banks <sep> 0.50658 <sep> South Jamaica, New York, NY, US
ARIF7ND1187B99759E <sep> Tony Yayo <sep> 0.443664 <sep> Jamaica, New York, NY, US
ARPXABO1187FB4D15F <sep> 2Pac <sep> 0.668613 <sep> New York, NY, US
ARSQSCB1187B9912A0 <sep> Warren G <sep> 0.486889 <sep> Long Beach, CA, US
AROSI8L1187B9ACD43 <sep> Ice Cube <sep> 0.66936 <sep> South Los Angeles, Los Angeles, CA, US
AROTIMO1187FB532BF <sep> DJ Quik <sep> 0.510589 <sep> Compton, CA, US
AR49IQD1187FB37EA7 <sep> Xzibit <sep> 0.50203 <sep> Detroit, MI, US
ARS8KBY1187FB4BC7E <sep> Kurupt <sep> 0.457508 <sep> Hawthorne, CA, US
ARUZRFN1187B98AC05 <sep> Bone Thugs-n-Harmony <sep> 0.64803 <sep> Cleveland, OH, US
ART39ZB1187B9B1E3A <sep> E-40 <sep> 0.47298 <sep> Vallejo, CA, US
ARXPPEY1187FB51DF4 <sep> Michael Jackson <sep> 0.726088 <sep> Muenster, North Rhine-Westphalia, DE
ARH5FJJ1187FB3F787 <sep> Alanis Morissette <sep> 0.553114 <sep> Ottawa, Ontario, CA
ARHKS0J1187B9A4D51 <sep> Belinda Carlisle <sep> 0.496088 <sep> Hollywood, Los Angeles, CA, US
ART50HO1187FB4D0ED <sep> ABBA <sep> 0.532863 <sep> Stockholm, Stockholm, SE
AR30R5E1187B9AD78A <sep> Whitney Houston <sep> 0.711589 <sep> Newark, NJ, US
ARG5N201187FB570F1 <sep> Terence Trent D'Arby <sep> 0.547087 <sep> New York, NY, US
ARUM60L1187B9A7E1F <sep> Stevie Wonder <sep> 0.501237 <sep> Saginaw, MI, US
ARRZUPG11F43A69EF7 <sep> Jackson 5 <sep> 0.489877 <sep> Tennessee, US
ARIK43K1187B9AE54C <sep> Lionel Richie <sep> 0.694198 <sep> Tuskegee, AL, US
ARRA92R1187FB3E50D <sep> Bobby Brown <sep> 0.506802 <sep> Roxbury, Boston, MA, US
ARY7CAU1187B98A4F6 <sep> New Kids on the Block <sep> 0.50042 <sep> Boston, MA, US
ARLWEID1187B98DE3C <sep> Quincy Jones <sep> 0.435478 <sep> Chicago, IL, US
ARJGIOD1187B9AE920 <sep> Kelly Clarkson <sep> 0.750211 <sep> Burleson, TX, US
AR9NG3Y1187B9895EE <sep> McFly <sep> 0.483154 <sep> London, England, GB
ARYLM651187B996F67 <sep> Fefe Dobson <sep> 0.459056 <sep> Scarborough, Toronto, Ontario, CA
AR8UICP11C8A4154FD <sep> Hey Monday <sep> 0.504369 <sep> West Palm Beach, FL, US
ARH85T41187FB41809 <sep> Busted <sep> 0.440499 <sep> London, England, GB
ARHHVP81187FB3D5BE <sep> Kelly Osbourne <sep> 0.465492 <sep> Westminster, London, England, GB
